Branchcode,Branchname,Bic
39020000,Aachener Bauspk Aachen,AABSDE31XXX
39050000,Sparkasse Aachen,AACSDE33XXX
10010424,Aareal Bank,AARBDE5W100
51010800,Aareal Bank Zw L Wiesbaden,AARBDE5W108
20010424,Aareal Bank,AARBDE5W200
25010424,Aareal Bank,AARBDE5W250
36010424,Aareal Bank Essen,AARBDE5W360
50010424,Aareal Bank,AARBDE5W500
55010424,Aareal Bank,AARBDE5W550
60010424,Aareal Bank,AARBDE5W600
70010424,Aareal Bank,AARBDE5W700
86010424,Aareal Bank,AARBDE5W860
55010400,Aareal Bank GF - BK01 -,AARBDE5WDOM
51010400,Aareal Bank,AARBDE5WXXX
50230000,ABC International Bank Ffm,ABCADEFFXXX
52420600,ABG Frankfurt Branch Ffm,ABGRDEFFXXX
10030400,ABK-Kreditbank Berlin,ABKBDEBBXXX
51230400,RBS Deutschland FFM,ABNADE55FRA
10010222,RBS NDL Deutschland,ABNADEFFBER
44010300,RBS NDL Deutschland,ABNADEFFDOR
30120400,RBS NDL Deutschland,ABNADEFFDUS
50230400,RBS NDL Deutschland,ABNADEFFFRA
20310600,RBS NDL Deutschland,ABNADEFFHAM
37010222,RBS NDL Deutschland,ABNADEFFKOE
70120200,RBS NDL Deutschland,ABNADEFFMUN
25410300,BHW Allgem Bauspk -alt-,AHWHDE21XXX
50020900,COREALCREDIT BANK,AHYBDEFFXXX
60030700,AKTIVBANK Pforzheim,AKBADES1XXX
37020600,Santander Consumer Bk Köln,AKBCDE31XXX
36010800,AKBANK N.V. Essen,AKBKDE3EXXX
50010200,AKBANK,AKBKDEFFXXX
33020000,akf bank Wuppertal,AKFBDE31XXX
50012800,ALTE LEIPZIGER Bauspar,ALTEDEFAXXX
72030227,Hafnerbank Augsburg,ANHODE77XXX
51230600,Europe ARAB Bank Frankfurt,ARABDEFFXXX
27020001,Audi Bank Braunschweig,AUDFDE21XXX
72020700,Augsburger Aktienbank,AUGBDE77XXX
72050000,St Spk Augsburg,AUGSDE77XXX
50110400,AKA Ausfuhrkredit Frankfurt,AUSKDEFFXXX
70011300,Autobank Oberhaching,AUZDDEM1XXX
37020200,AXA Bank Köln,AXABDE31XXX
50023400,Bank of Beirut Frankfurt,BABEDEFFXXX
51420300,Bank Julius Bär Frankfurt,BAERDEF1XXX
30120500,KBC Bank Düsseldorf,BANVDEHB300
50020300,KBC Bank Frankfurt,BANVDEHB500
29020100,KBC Bank Bremen,BANVDEHBXXX
50310455,Reiseschecks - Barclays Ffm,BARCDEF1TCS
50310400,Barclays Bank Frankfurt,BARCDEFFXXX
20130600,Barclaycard,BARCDEHAXXX
60350130,Kr Spk Böblingen,BBKRDE6BXXX
50810900,DBS Bauspk Darmstadt,BBSPDE61DAR
66010200,Deutsche Bauspk Badenia,BBSPDE6KXXX
50330500,CHAABI BANK FRANKFURT,BCDMDEF1XXX
70020800,INTESA SANPAOLO München,BCITDEFFMUC
50020800,Intesa Sanpaolo Frankfurt,BCITDEFFXXX
27032500,Seeligerbank Wolfenbüttel,BCLSDE21XXX
50320600,Attijariwafa bank Frankfurt,BCMADEFFXXX
70033100,Baaderbank Unterschleißheim,BDWBDEMMXXX
20120000,Berenbergbank,BEGODEHHXXX
10050005,Landesbank Berlin - E 1 -,BELADEB1DB5
10050006,Landesbank Berlin - E 2 -,BELADEB1DB6
10050007,Landesbank Berlin - E 3 -,BELADEB1DB7
10050008,Landesbank Berlin - E 4 -,BELADEB1DB8
10050000,Landesbank - Berliner Spk,BELADEBEXXX
70110600,UBI BANCA INT München,BEPODEMMXXX
50130100,BethmannMaffei Bank Ffm-alt,BETHDEF1XXX
10090000,Berliner VB Berlin,BEVODEBBXXX
51091711,Bk f Orden u Mission Idstn,BFOMDE51XXX
37020599,Bank f. Sozialwirtschaft Gf,BFSWDE33BEK
10020500,Bank für Sozialwirtschaft,BFSWDE33BER
85020500,Bank für Sozialwirtschaft,BFSWDE33DRE
25120510,Bank für Sozialwirtschaft,BFSWDE33HAN
66020500,Bank für Sozialwirtschaft,BFSWDE33KRL
86020500,Bank für Sozialwirtschaft,BFSWDE33LPZ
81020500,Bank für Sozialwirtschaft,BFSWDE33MAG
55020500,Bank für Sozialwirtschaft,BFSWDE33MNZ
70020500,Bank für Sozialwirtschaft,BFSWDE33MUE
60120500,Bank für Sozialwirtschaft,BFSWDE33STG
37020500,Bank für Sozialwirtschaft,BFSWDE33XXX
70011400,BfW-Bank,BFWODE71XXX
60030100,"Bankhaus Bauer, Stuttgart",BHBADES1XXX
10020200,BHF-BANK Berlin,BHFBDEFF100
20120200,BHF-BANK Hamburg,BHFBDEFF200
25020200,BHF-BANK Hannover,BHFBDEFF250
30020500,BHF-BANK Düsseldorf,BHFBDEFF300
50020200,BHF-BANK Frankfurt Main,BHFBDEFF500
51020000,BHF-BANK Wiesbaden,BHFBDEFF510
55020000,BHF-BANK Mainz,BHFBDEFF550
60120200,BHF-BANK Stuttgart,BHFBDEFF600
70220200,BHF-BANK München,BHFBDEFF700
86020200,BHF BANK Leipzig,BHFBDEFF860
70031000,Bankhaus Sperrer Freising,BHLSDEM1XXX
25410200,BHW Bauspk Hameln,BHWBDE2HXXX
44010200,BHW Bausparkasse,BHWXDE31XXX
25010700,BHH Hannover,BHYPDEB1HAN
10030200,Berlin Hyp,BHYPDEB1XXX
56250030,Kr Spk Birkenfeld,BILADE55XXX
10130800,BIW Bank,BIWBDE33XXX
20110800,Bank of China Hamburg,BKCHDEFFHMB
51410700,Bank of China Frankfurt,BKCHDEFFXXX
68030000,Bankhaus E Mayer Freiburg B,BKMADE61XXX
55020100,Bausparkasse Mainz,BKMZDE51XXX
50220200,Bethmann Bank (LGT Ffm),BLFLDEFFXXX
50031100,Bankhaus Main Frankfurt/M,BMAIDEFRXXX
70220300,BMW Bank München,BMWBDEMUXXX
51210600,"BNP PARIBAS Frankfurt, Main",BNPADEFFXXX
50334400,BNY Mellon NL FFM,BNYMDEF1XXX
50010900,Bankamerica,BOFADEFXXXX
50220500,Bank of Scotland,BOFSDEF1XXX
30010700,Bank of Tokyo-MitsubishUFJ,BOTKDEDXXXX
20110700,Tokyo-Mitsubishi UFJ Hambg,BOTKDEH1XXX
51410800,OnVista Bank Frankfurt/Main,BOURDEFFXXX
42860003,Volksbank Bocholt,BOVBDE3MXXX
51220800,Banco do Brasil Frankfurt,BRASDEFFXXX
28350000,Spk Aurich-Norden,BRLADE21ANO
29250150,Kr Spk Wesermünde-Hadeln,BRLADE21BRK
29250000,Spk Bremerhaven,BRLADE21BRS
24150001,St Spk Cuxhaven,BRLADE21CUX
