identifier,frequency,startdate,splitgift,donor,motivation_1,recipient_support_1,recipient_keymin_1,recipient_field_1,amount_1,motivation_2,recipient_support_2,recipient_keymin_2,recipient_field_2,amount_2,motivation_3,recipient_support_3,recipient_keymin_3,recipient_field_3,amount_3
1,once,2012-10-05T00:00:00,1,681,SUPPORT,27,29,20,127,SUPPORT,92,38,20,42,SUPPORT,26,17,2,37
2,monthly,2012-11-30T00:00:00,2,956,SUPPORT,101,33,3,178,SUPPORT,47,18,15,304,SUPPORT,107,14,9,75
3,once,2012-11-10T00:00:00,1,313,KEYMIN,39,32,4,494,FIELD,70,21,9,205,KEYMIN,144,25,6,235
4,monthly,2012-11-08T00:00:00,3,289,SUPPORT,80,16,3,192,FIELD,83,39,15,303,SUPPORT,55,25,18,97
5,monthly,2012-06-01T00:00:00,1,642,SUPPORT,107,36,2,410,SUPPORT,189,29,12,119,SUPPORT,3,34,6,185
6,once,2012-02-08T00:00:00,2,873,SUPPORT,9,22,4,273,FIELD,12,49,1,202,SUPPORT,97,3,19,268
7,once,2012-07-05T00:00:00,1,502,SUPPORT,81,22,17,75,KEYMIN,107,5,5,186,FIELD,27,4,4,6
8,once,2012-12-18T00:00:00,1,385,FIELD,15,3,14,53,FIELD,176,22,18,328,KEYMIN,84,39,5,91
9,monthly,2012-01-11T00:00:00,1,977,FIELD,114,32,17,376,KEYMIN,18,6,11,7,SUPPORT,18,39,7,156
10,monthly,2012-02-12T00:00:00,1,939,SUPPORT,25,25,7,476,SUPPORT,139,49,2,368,KEYMIN,20,38,3,376
11,once,2012-05-12T00:00:00,2,309,SUPPORT,94,36,7,195,KEYMIN,124,22,9,185,SUPPORT,133,9,4,89
12,monthly,2012-07-29T00:00:00,1,625,FIELD,145,31,20,466,SUPPORT,130,46,3,289,SUPPORT,26,16,15,15
13,once,2012-04-04T00:00:00,2,727,SUPPORT,68,32,19,160,SUPPORT,118,35,14,447,SUPPORT,5,2,19,303
14,monthly,2012-10-17T00:00:00,2,535,FIELD,94,24,5,443,KEYMIN,38,35,11,448,KEYMIN,32,21,12,386
15,once,2012-06-09T00:00:00,1,870,SUPPORT,153,49,18,80,FIELD,76,38,12,434,KEYMIN,137,30,13,360
16,monthly,2012-02-18T00:00:00,1,908,SUPPORT,159,46,6,165,SUPPORT,74,14,11,494,SUPPORT,178,38,9,367
17,monthly,2012-11-26T00:00:00,3,383,KEYMIN,39,5,12,304,FIELD,40,33,19,166,SUPPORT,19,27,8,175
18,quarterly,2012-04-28T00:00:00,1,99,SUPPORT,150,30,12,348,FIELD,3,37,7,312,FIELD,101,26,5,332
19,once,2012-10-03T00:00:00,1,277,SUPPORT,99,1,20,463,FIELD,184,11,9,429,FIELD,137,44,1,253
20,monthly,2012-06-11T00:00:00,1,24,SUPPORT,21,30,2,124,SUPPORT,176,17,17,165,KEYMIN,117,37,7,185
21,quarterly,2012-06-21T00:00:00,1,949,SUPPORT,152,2,12,80,SUPPORT,24,46,11,449,FIELD,144,29,6,55
22,monthly,2012-03-15T00:00:00,1,539,SUPPORT,53,8,10,410,FIELD,43,6,11,208,FIELD,154,29,6,5
23,monthly,2012-06-17T00:00:00,1,521,SUPPORT,134,44,7,486,SUPPORT,92,31,18,399,KEYMIN,106,17,1,337
24,monthly,2012-11-12T00:00:00,1,997,KEYMIN,101,23,1,354,SUPPORT,46,11,9,494,KEYMIN,129,12,9,391
25,monthly,2012-06-07T00:00:00,2,370,SUPPORT,19,12,15,5,SUPPORT,137,12,14,286,FIELD,25,32,15,426
26,monthly,2012-07-09T00:00:00,1,419,KEYMIN,150,28,10,106,FIELD,43,39,5,72,SUPPORT,158,23,15,227
27,monthly,2012-08-14T00:00:00,2,78,SUPPORT,42,12,3,322,SUPPORT,128,44,7,84,FIELD,90,50,6,286
28,monthly,2012-09-03T00:00:00,1,868,SUPPORT,18,6,9,345,SUPPORT,120,47,17,464,KEYMIN,180,22,15,264
29,quarterly,2012-05-24T00:00:00,2,375,KEYMIN,127,16,6,291,SUPPORT,63,28,9,196,KEYMIN,146,23,20,363
30,once,2012-01-25T00:00:00,3,116,SUPPORT,169,3,5,295,SUPPORT,50,36,7,418,KEYMIN,64,20,9,497
31,monthly,2012-08-16T00:00:00,2,270,SUPPORT,72,10,1,356,FIELD,102,39,12,350,SUPPORT,127,38,14,483
32,once,2012-08-18T00:00:00,1,308,SUPPORT,111,27,9,90,KEYMIN,4,16,15,457,FIELD,104,13,3,78
33,monthly,2012-12-26T00:00:00,1,528,SUPPORT,152,16,19,55,KEYMIN,105,44,13,249,SUPPORT,134,31,15,95
34,monthly,2012-07-15T00:00:00,1,802,SUPPORT,189,24,2,287,SUPPORT,11,23,3,417,FIELD,25,9,6,187
35,monthly,2012-11-06T00:00:00,2,596,FIELD,101,46,1,476,FIELD,38,24,7,366,FIELD,50,31,18,343
36,monthly,2012-06-21T00:00:00,2,677,SUPPORT,74,14,3,170,SUPPORT,103,49,15,94,SUPPORT,118,7,12,120
37,monthly,2012-03-21T00:00:00,1,468,SUPPORT,17,9,15,83,SUPPORT,193,27,10,149,FIELD,62,16,3,230
38,monthly,2012-10-17T00:00:00,2,804,SUPPORT,137,8,6,351,SUPPORT,78,39,19,241,SUPPORT,47,7,18,377
39,monthly,2012-01-25T00:00:00,2,74,KEYMIN,145,38,12,22,SUPPORT,181,3,18,113,SUPPORT,51,29,17,290
40,monthly,2012-01-07T00:00:00,1,919,SUPPORT,4,24,9,62,KEYMIN,8,44,13,83,FIELD,126,35,19,82
41,monthly,2012-11-02T00:00:00,2,116,FIELD,137,45,7,187,SUPPORT,114,32,2,438,SUPPORT,166,50,15,261
42,monthly,2012-06-27T00:00:00,1,749,FIELD,199,34,10,283,SUPPORT,194,48,4,344,FIELD,140,16,11,41
43,monthly,2012-06-17T00:00:00,2,349,FIELD,17,31,20,99,SUPPORT,9,7,4,61,SUPPORT,86,45,12,424
44,monthly,2012-01-19T00:00:00,1,106,SUPPORT,43,42,11,305,SUPPORT,40,23,18,221,FIELD,119,36,17,27
45,monthly,2012-11-06T00:00:00,2,648,SUPPORT,157,45,17,463,FIELD,10,5,14,116,KEYMIN,12,5,7,8
46,monthly,2012-06-19T00:00:00,1,251,FIELD,57,34,3,241,FIELD,102,48,10,382,FIELD,200,46,5,353
47,monthly,2012-08-26T00:00:00,2,78,SUPPORT,145,4,13,59,SUPPORT,145,43,5,284,KEYMIN,63,17,5,231
48,monthly,2012-05-18T00:00:00,1,867,SUPPORT,186,33,3,323,KEYMIN,49,50,3,150,SUPPORT,131,2,20,262
49,monthly,2012-04-26T00:00:00,1,705,SUPPORT,7,25,4,426,FIELD,105,38,20,295,SUPPORT,130,11,2,278
50,quarterly,2012-11-28T00:00:00,1,846,SUPPORT,46,43,12,47,KEYMIN,64,31,10,361,SUPPORT,131,16,14,436
51,once,2012-10-07T00:00:00,1,434,SUPPORT,109,9,11,82,SUPPORT,172,15,16,234,KEYMIN,25,43,6,210
52,once,2012-02-20T00:00:00,1,693,KEYMIN,79,31,6,245,SUPPORT,118,44,11,193,SUPPORT,6,17,7,163
53,monthly,2012-09-07T00:00:00,2,147,KEYMIN,5,16,3,43,KEYMIN,57,11,15,438,KEYMIN,102,19,4,468
54,quarterly,2012-07-31T00:00:00,2,804,KEYMIN,47,21,14,387,SUPPORT,164,17,14,172,SUPPORT,173,19,7,371
55,monthly,2012-10-05T00:00:00,1,133,SUPPORT,177,37,17,473,SUPPORT,159,40,9,363,FIELD,21,49,15,254
56,once,2012-07-03T00:00:00,3,606,SUPPORT,119,34,18,307,FIELD,156,9,9,207,SUPPORT,111,29,10,463
57,monthly,2012-04-08T00:00:00,1,777,KEYMIN,92,35,9,81,SUPPORT,176,42,16,451,KEYMIN,192,28,16,238
58,once,2012-04-14T00:00:00,1,370,SUPPORT,47,20,4,195,SUPPORT,25,8,9,432,FIELD,18,39,7,455
59,monthly,2012-08-28T00:00:00,3,531,SUPPORT,160,26,5,166,FIELD,108,12,3,143,KEYMIN,161,10,6,13
60,quarterly,2012-12-18T00:00:00,2,356,SUPPORT,118,19,8,323,SUPPORT,80,4,1,400,SUPPORT,174,2,6,266
61,once,2012-10-09T00:00:00,2,431,SUPPORT,14,3,20,59,SUPPORT,67,32,7,164,FIELD,147,23,13,307
62,quarterly,2012-11-12T00:00:00,2,309,SUPPORT,136,22,8,220,SUPPORT,16,4,15,307,SUPPORT,17,26,11,268
63,quarterly,2012-10-15T00:00:00,2,680,KEYMIN,130,22,20,38,SUPPORT,200,7,18,393,FIELD,23,43,6,330
64,quarterly,2012-08-10T00:00:00,2,447,KEYMIN,178,20,19,204,SUPPORT,25,29,15,461,SUPPORT,47,9,4,217
65,once,2012-01-23T00:00:00,2,211,SUPPORT,25,5,19,33,SUPPORT,172,21,13,195,KEYMIN,199,3,18,81
66,monthly,2012-11-08T00:00:00,2,281,SUPPORT,132,6,9,63,KEYMIN,150,35,3,32,SUPPORT,133,30,11,209
67,once,2012-06-03T00:00:00,1,498,FIELD,122,35,9,145,SUPPORT,180,47,4,396,SUPPORT,55,33,5,404
68,monthly,2012-01-25T00:00:00,1,232,KEYMIN,106,44,17,361,SUPPORT,22,38,4,69,SUPPORT,119,28,1,61
69,monthly,2012-07-31T00:00:00,2,956,KEYMIN,187,8,9,269,SUPPORT,62,46,18,280,SUPPORT,166,50,5,305
