id,KeyMinName,field
1,Heal the Injured,1
2,Heal the Dolphins,1
3,Heal the Disadvantaged,1
4,Heal the Hungry,1
5,Heal the Forest,1
6,Heal the Addicted,1
7,Heal the Poor,1
8,Rescue the Disadvantaged,1
9,Rescue the Addicted,1
10,Rescue the Poor,1
11,Free the Disadvantaged,2
12,Free the Dolphins,2
13,Free the Injured,2
14,Free the Poor,2
15,Free the Addicted,2
16,Free the Hungry,2
17,Free the Forest,2
18,Feed the Disadvantaged,2
19,Feed the Poor,2
20,Feed the Hungry,2
21,Save the Addicted,3
22,Save the Disadvantaged,3
23,Save the Poor,3
24,Save the Injured,3
25,Save the Forest,3
26,Save the Hungry,3
27,Save the Dolphins,3
28,Heal the Hungry,3
29,Heal the Forest,3
30,Heal the Dolphins,3
31,Free the Forest,4
32,Free the Disadvantaged,4
33,Free the Hungry,4
34,Free the Addicted,4
35,Free the Injured,4
36,Free the Poor,4
37,Free the Dolphins,4
38,Feed the Dolphins,4
39,Feed the Forest,4
40,Feed the Hungry,4
41,Free the Injured,5
42,Free the Hungry,5
43,Free the Dolphins,5
44,Free the Poor,5
45,Free the Disadvantaged,5
46,Free the Forest,5
47,Free the Addicted,5
48,Rescue the Forest,5
49,Rescue the Disadvantaged,5
50,Rescue the Hungry,5
51,Heal the Addicted,6
52,Heal the Injured,6
53,Heal the Disadvantaged,6
54,Heal the Hungry,6
55,Heal the Dolphins,6
56,Heal the Forest,6
57,Heal the Poor,6
58,Feed the Poor,6
59,Feed the Forest,6
60,Feed the Injured,6
61,Heal the Dolphins,7
62,Heal the Hungry,7
63,Heal the Injured,7
64,Heal the Addicted,7
65,Heal the Disadvantaged,7
66,Heal the Forest,7
67,Heal the Poor,7
68,Feed the Disadvantaged,7
69,Feed the Dolphins,7
70,Feed the Forest,7
71,Feed the Forest,8
72,Feed the Poor,8
73,Feed the Dolphins,8
74,Feed the Addicted,8
75,Feed the Injured,8
76,Feed the Hungry,8
77,Feed the Disadvantaged,8
78,Rescue the Poor,8
79,Rescue the Disadvantaged,8
80,Rescue the Addicted,8
81,Rescue the Dolphins,9
82,Rescue the Poor,9
83,Rescue the Injured,9
84,Rescue the Disadvantaged,9
85,Rescue the Addicted,9
86,Rescue the Hungry,9
87,Rescue the Forest,9
88,Free the Dolphins,9
89,Free the Hungry,9
90,Free the Disadvantaged,9
91,Free the Addicted,10
92,Free the Dolphins,10
93,Free the Forest,10
94,Free the Injured,10
95,Free the Hungry,10
96,Free the Poor,10
97,Free the Disadvantaged,10
98,Rescue the Forest,10
99,Rescue the Dolphins,10
100,Rescue the Poor,10
101,Feed the Injured,11
102,Feed the Forest,11
103,Feed the Addicted,11
104,Feed the Dolphins,11
105,Feed the Disadvantaged,11
106,Feed the Hungry,11
107,Feed the Poor,11
108,Rescue the Disadvantaged,11
109,Rescue the Forest,11
110,Rescue the Dolphins,11
111,Free the Disadvantaged,12
112,Free the Hungry,12
113,Free the Poor,12
114,Free the Forest,12
115,Free the Dolphins,12
116,Free the Injured,12
117,Free the Addicted,12
118,Rescue the Injured,12
119,Rescue the Hungry,12
120,Rescue the Forest,12
121,Heal the Injured,13
122,Heal the Poor,13
123,Heal the Addicted,13
124,Heal the Forest,13
125,Heal the Dolphins,13
126,Heal the Disadvantaged,13
127,Heal the Hungry,13
128,Rescue the Injured,13
129,Rescue the Hungry,13
130,Rescue the Dolphins,13
131,Heal the Disadvantaged,14
132,Heal the Hungry,14
133,Heal the Forest,14
134,Heal the Dolphins,14
135,Heal the Addicted,14
136,Heal the Injured,14
137,Heal the Poor,14
138,Feed the Forest,14
139,Feed the Dolphins,14
140,Feed the Addicted,14
141,Save the Forest,15
142,Save the Injured,15
143,Save the Addicted,15
144,Save the Hungry,15
145,Save the Disadvantaged,15
146,Save the Dolphins,15
147,Save the Poor,15
148,Rescue the Forest,15
149,Rescue the Disadvantaged,15
150,Rescue the Dolphins,15
